file	aws	azure	google	ibm	nemo	rev	whisper	whispercpp	nsp
andrews	29.0	23.1	24.7	33.4	18.8	19.0	19.1	21.6	1
antin	15.7	18.1	16.4	21.2	20.3	15.0	19.4	21.2	8
ashbery1	3.5	4.3	4.2	5.8	3.4	3.7	2.8	3.5	1
ashbery2	3.6	4.6	4.2	6.6	4.4	3.2	3.8	4.6	1
ashbery3	3.9	4.8	5.5	6.2	4.9	3.2	4.7	5.3	2
ashbery4	14.6	14.9	15.6	17.4	18.2	15.6	18.1	17.2	2
ashbery5	5.4	6.3	4.8	9.1	5.7	3.2	3.9	4.7	1
ashbery6	2.0	2.4	4.1	3.6	2.8	2.4	2.0	6.4	1
ashbery7	4.1	4.8	5.2	11.4	3.5	4.2	3.0	3.6	1
ashbery8	4.5	4.5	4.6	8.6	4.7	4.2	3.5	5.8	1
auster	2.6	2.5	8.3	3.8	2.2	4.8	3.3	4.7	1
beaulieu	9.1	3.3	11.3	5.8	18.9	8.6	8.1	5.6	1
bellamy	4.5	4.6	8.6	5.8	4.4	5.5	5.0	6.4	1
benson1	6.4	6.5	6.7	10.6	8.1	6.0	5.9	7.0	3
benson2	18.2	21.3	22.8	28.9	21.7	15.8	19.6	37.0	9
berkson1	8.5	7.9	9.1	9.6	8.5	8.3	6.8	9.0	2
berkson2	5.1	5.6	6.3	6.8	7.3	5.6	5.8	7.8	1
berrigan	5.7	6.2	9.1	10.7	5.6	5.9	5.1	4.6	5
berssenbrugge1	1.9	5.5	3.7	6.4	3.4	3.9	2.4	3.2	1
berssenbrugge2	1.5	3.4	4.4	9.9	4.3	3.5	2.5	3.2	1
bervin	17.0	16.4	16.2	29.2	15.7	12.7	14.1	15.6	3
bloch	3.9	4.8	4.6	4.5	5.5	4.4	4.3	6.9	1
bonvicino	26.6	24.1	27.7	30.4	26.4	21.5	24.0	22.5	3
bromige1	5.0	9.1	11.5	14.6	8.7	8.5	7.4	7.1	1
bromige2	2.4	3.0	2.0	4.2	2.4	1.1	2.0	1.9	1
bromige3	16.7	9.3	8.3	15.0	6.0	7.4	5.7	7.2	1
bromige4	4.9	6.9	6.5	9.2	5.8	5.0	5.7	5.6	1
brown	4.8	6.3	7.8	9.1	9.3	7.0	8.5	8.0	1
browne	6.1	7.3	7.3	10.4	8.9	6.5	6.9	8.2	1
clay	13.5	14.5	14.1	15.8	19.7	15.3	13.7	16.4	3
conrad	9.0	9.2	10.3	13.2	9.7	9.0	9.5	9.6	1
coolidge	4.2	5.4	6.6	6.6	5.6	5.1	3.5	5.3	1
corrigan	7.6	7.6	9.9	33.8	7.9	6.5	6.4	6.2	2
darragh	6.7	7.1	9.4	8.6	7.2	7.4	6.2	7.3	2
davies	5.6	5.0	5.0	8.8	5.5	4.7	4.9	8.7	1
dipalma	4.4	6.8	3.9	8.2	3.8	3.2	5.1	4.1	2
donovan	5.6	7.9	7.1	11.5	7.2	4.4	4.1	4.1	2
dorn	4.3	4.0	8.3	8.0	3.4	4.6	1.6	2.5	1
drucker1	5.7	6.2	7.2	9.5	8.8	4.8	6.9	8.6	1
drucker2	4.6	5.3	7.0	7.0	3.6	6.1	3.8	5.7	1
duncan1	12.0	14.6	13.7	16.6	20.5	13.0	14.1	18.3	1
duncan2	15.0	18.3	17.1	21.2	19.8	15.7	19.9	19.2	4
duncan3	25.0	28.2	30.5	36.6	26.3	21.7	23.3	22.8	3
duplessis1	3.0	2.9	2.9	4.4	3.9	1.8	1.9	5.4	1
duplessis2	2.8	2.6	3.6	6.7	2.9	2.0	1.8	1.6	1
duplessis3	7.7	9.9	12.5	15.0	10.7	8.5	7.7	8.4	1
dworkin	8.4	7.8	9.1	9.3	9.8	8.3	8.5	7.3	1
fiedler	5.0	5.3	4.3	8.2	6.2	3.8	3.4	4.0	1
foster	7.1	7.6	9.2	9.3	6.8	6.8	9.3	6.8	1
fuchs	7.1	7.6	10.2	9.1	8.4	8.1	5.1	9.1	1
garrison	6.0	6.2	6.5	7.9	5.5	6.8	4.8	5.9	2
ginsberg	37.2	36.3	36.2	44.0	34.4	33.3	32.4	39.4	3
gladman	2.2	2.4	3.2	4.1	4.2	2.2	1.9	10.9	1
greenwald	3.6	4.9	3.5	6.4	4.4	3.8	2.8	3.0	1
halpern	4.6	3.2	4.6	6.6	3.2	3.9	2.8	3.9	1
halsey	15.0	14.1	16.7	19.8	14.8	14.6	13.3	15.8	1
hawkins	3.3	3.0	4.9	3.6	3.8	4.1	3.1	17.6	1
howe1	5.9	4.8	4.3	10.1	4.8	3.9	3.9	3.4	1
howe2	8.6	7.2	9.3	14.3	7.7	6.5	5.8	5.8	1
howe3	22.6	23.5	26.1	26.2	24.1	17.9	19.4	20.8	5
jarnot	4.3	4.0	4.5	9.3	5.5	2.3	3.1	4.3	1
joris	26.6	24.8	26.9	87.2	22.4	22.9	22.7	24.5	1
kimmelman	5.9	7.6	7.4	8.2	9.9	5.7	5.3	6.5	2
kinsella	13.7	15.4	15.9	25.9	12.9	13.9	9.8	11.9	1
kyger	29.9	29.7	29.6	33.2	32.7	26.7	32.8	31.0	5
lauterbach1	7.3	6.8	8.4	10.0	7.3	7.7	5.7	7.4	1
lauterbach2	5.7	6.7	7.2	9.2	8.0	6.5	7.0	10.9	1
levy	6.3	5.7	7.6	9.3	7.1	6.3	6.3	12.9	1
mirakove	5.7	5.2	7.4	7.6	6.3	5.1	4.8	5.4	1
moore	3.1	4.1	5.7	7.8	3.7	4.2	2.8	3.7	1
moxley	15.0	16.8	15.1	23.8	12.4	13.0	12.0	12.3	1
oppen	16.6	18.4	18.4	25.0	15.2	15.8	14.1	16.1	1
phillytalks1	14.1	14.4	14.7	22.1	18.6	13.5	14.4	16.2	4
phillytalks10	8.1	10.3	22.6	9.3	15.3	4.3	6.6	11.2	2
phillytalks3	7.3	9.0	8.6	10.5	10.3	7.7	8.7	9.4	2
phillytalks5	11.1	13.8	11.0	14.4	15.4	8.5	12.4	10.1	3
piombino	4.4	3.0	4.7	5.8	5.0	4.7	5.4	4.7	1
poemtalk	11.1	10.6	10.2	13.0	15.4	9.9	10.5	9.6	4
raworth	14.9	13.9	19.5	20.3	15.4	14.4	13.6	14.4	1
retalack	20.4	21.7	21.9	28.4	24.4	18.4	22.2	23.2	7
reznikoff	6.4	6.3	7.6	11.5	6.1	6.7	5.1	5.0	1
richards	3.9	3.9	2.8	8.2	2.8	2.8	3.4	7.1	1
robinson1	3.0	2.8	5.0	4.2	4.1	2.5	2.6	3.6	1
robinson2	4.4	4.1	5.5	4.9	5.0	3.9	3.5	4.2	1
robinson3	3.6	3.2	3.9	5.2	4.2	2.9	2.9	5.3	1
rothenberg	10.8	11.0	13.2	15.1	12.4	9.6	11.9	19.5	4
scalapino1	4.4	5.2	3.8	8.6	4.2	4.1	3.5	4.5	1
scalapino2	14.7	20.6	15.3	20.6	21.9	13.0	15.4	17.1	4
sherlock	6.4	6.4	6.7	7.4	6.5	6.9	6.6	7.6	1
silliman1	4.6	5.9	5.1	9.3	7.0	4.6	6.5	6.2	3
silliman2	8.0	7.8	8.3	12.6	6.5	7.5	11.8	7.0	1
silliman3	8.1	9.2	8.0	12.1	7.4	7.2	7.5	8.0	1
smith	6.3	6.8	6.7	7.5	8.6	5.4	5.0	5.7	1
spahr	6.8	6.1	6.2	7.1	6.9	5.0	5.7	5.9	1
sze	6.9	5.1	6.8	8.7	5.5	5.5	3.9	4.4	1
templeton	20.7	17.6	14.8	21.2	17.8	16.0	41.5	17.0	2
torres	24.8	24.8	26.5	31.6	32.6	22.8	30.4	39.6	2
towle	6.9	7.8	8.8	12.2	5.7	6.1	5.3	6.6	1
wisher	4.7	5.3	6.0	7.8	6.2	5.4	3.9	4.5	1
yau	5.5	6.0	7.4	10.7	4.4	4.5	3.6	4.9	1
